fraction	superkingdom	phylum	class	order	family	genus	species
0.0001207935055464661	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__JAJZAM01	s__JAJZAM01 sp021808425
0.0001207935055464661	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__13-2-20CM-66-19 sp021826035
0.00011856347159791596	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Metallibacterium	s__Metallibacterium scheffleri
0.00011336005905129895	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__JAKAQB01	s__JAKAQB01 sp021811865
0.00011336005905129895	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__JAJZVS01	s__JAJZVS01 sp021826565
0.00011224504207702389	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__GCA-000496135	s__GCA-000496135 sp021818675
0.00011113002510274882	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__13-2-20CM-66-19 sp021807675
0.00010852831882944031	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__WQYP01	f__WQYP01	g__JAJZGD01	s__JAJZGD01 sp021827645
0.0001077849741799236	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__SCQP01	g__JAKAZV01	s__JAKAZV01 sp021826505
0.00010555494023137346	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Micrarchaeales	f__Micrarchaeaceae	g__JAJZDT01	s__JAJZDT01 sp021828705
0.00010481159558185674	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__13-2-20CM-66-19 sp021843755
0.00010369657860758167	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__B-DKE	s__B-DKE sp021793945
0.00010332490628282331	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidiphilium	s__Acidiphilium sp002255515
9.99798553599981e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__JAJYWF01	s__JAJYWF01 sp021791615
9.812149373620632e-05	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Parvarchaeales	f__Parvarchaeaceae	g__JAJYZA01	s__JAJYZA01 sp021852265
9.589145978765617e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__JAJZAM01	s__JAJZAM01 sp021838305
9.440477048862273e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__UBA184	s__UBA184 sp021817245
9.29180811895893e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__JAJZJT01	s__JAJZJT01 sp021798955
9.105971956579753e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micropepsales	f__Micropepsaceae	g__Rhizomicrobium	s__Rhizomicrobium sp021817355
